id,name,short_name,website_url,date_of_establishment,total_number_of_staff,object_id,address_id,content_type_id,type_id,mission,vision,approved,avatar
1,Construction Star People,Construction Star People,https://auguealiquip.eu,2016-07-03,614,1,1,38,Technology/Service Provider,Eum vel sit veniam consequat consequat luptatum hendrerit hendrerit hendrerit illum ut consequat.,Exerci nulla duis dolor luptatumzzril te at lorem consequatvel.,t,""
2,Net Analysis Contract,Net Analysis Contract,https://verofacilisis.tv,2013-07-11,152,,2,,Governamental agencies,Etaccumsan velit dignissim in vero aliquip tationullamcorper velit eum zzril ea nislut etaccumsan facilisi.,Nostrud Utwisi nislut lobortis ea et dolore et invulputate tationullamcorper.,f,""
3,Net Consulting Bell,Net Consulting Bell,https://veroet.net,2017-07-22,632,,3,,Governamental agencies,Nostrud delenit autem nulla nostrud minim aliquam eros ut in esse in.,Dolore ipsum elitsed veniam commodo ad blandit volutpat autem aliquip quis te ullamcorper.,f,""
4,Software Alpha Medicine,Software Alpha Medicine,https://volutpatqui.net,2014-10-02,989,2,4,38,Technology/Service Provider,Amet ex ex eufeugiat.,Invulputate commodoconsequat wisi suscipit suscipit amet suscipit et sit luptatumzzril esse.,f,""
5,East Bell,East Bell,https://zzrilluptatumzzril.gov,2017-09-15,2,1,5,35,Technical assistance providers,Nostrud hendrerit facilisis et facilisi.,Nostrud consequat commodo illum dolor in laoreet lobortis nostrud facilisis.,t,""
6,Medicine Architecture Resource,Medicine Architecture Resource,https://teet.us,2011-07-11,347,,6,,Governamental agencies,Duis iriure et nulla facilisis diam.,Nulla praesent hendrerit lobortis hendrerit ea minim iustoodio.,f,""
7,Software Source,Software Source,https://enimdignissim.com,2016-10-29,129,2,7,35,Technical assistance providers,Feugait et autem nostrud adipiscing vero minim molestie luptatumzzril qui ut consectetuer hendrerit iriuredolor.,Laoreet luptatum ad molestie lobortis facilisis.,t,""
8,East Contract Interactive,East Contract Interactive,https://nisllorem.org,2016-07-31,114,1,8,29,Academia,Nislut minim eum volutpat veniamquis nulla autem velit.,Minim tationullamcorper doloremagna autem zzril blandit consequat ut delenit et ex ut.,f,""
9,West Atlantic Innovation,West Atlantic Innovation,https://loremnostrud.tv,2011-07-16,567,2,9,29,Academia,Laoreet esse blandit diam hendrerit tationullamcorper nonummy.,Feugait etaccumsan invulputate iustoodio nostrud ut ullamcorper in at vel nulla esse nulla.,t,""
10,East Construction Systems,East Construction Systems,https://invulputatelobortis.gov,2012-03-25,132,3,10,35,Technical assistance providers,Exerci esse luptatumzzril molestie nostrud laoreet nostrud augue lobortis facilisi te ullamcorper feugait.,Nisl ex doloremagna velit suscipit molestie suscipit.,f,""
11,Vision Galaxy Network,Vision Galaxy Network,https://molestieiriuredolor.org,2016-12-06,829,1,11,36,NGO,Minim ex ad dolore wisi tation lobortis facilisi consequat zzril qui nostrud nostrud.,Iriuredolor facilisis vero enim eros nislut diam ut zzril duis ex te et.,t,""
12,Medicine East,Medicine East,https://erosat.gov,2013-11-15,560,4,12,35,Technical assistance providers,Tincidunt elitsed facilisi nislut diam enim dignissim at doloremagna dolor exerci.,Suscipit in aliquip duis autem Utwisi suscipit nostrud consequatvel.,t,""
13,Vision Federated,Vision Federated,https://ametautem.org,2014-02-02,69,3,13,38,Technology/Service Provider,Eros enim praesent duis ad iusto vel enim nulla molestie nibh te aliquip hendrerit.,Ea dolore dignissim hendrerit autem augue.,f,""
14,Frontier Resource Alpha,Frontier Resource Alpha,https://aliquipea.info,2012-04-21,685,5,14,35,Technical assistance providers,Facilisi et lobortis etaccumsan et veniam praesent velit aliquip te dolore nostrud tation.,Hendrerit molestie augue eufeugiat in.,f,""
15,Studio Power,Studio Power,https://doloremagnate.org,2016-09-27,506,1,15,31,Financial Institution,Lorem iriure consectetuer hendrerit esse commodoconsequat dolore tationullamcorper invulputate.,Luptatumzzril eros ea in molestie facilisi minim esse ipsum.,f,""
16,Industries Software Omega,Industries Software Omega,https://consequatautem.tv,2020-10-04,275,,16,,Governamental agencies,Facilisis autem commodo ut iustoodio accumsan dolore et.,Nulla tation nulla et autem dolore diam et vel.,f,""
17,Electronic Solutions Resource,Electronic Solutions Resource,https://suscipitin.edu,2014-10-27,403,,17,,Governamental agencies,Autem amet facilisi iriuredolor sit laoreet at veniamquis sit nulla ut suscipit blandit diam.,Nostrud luptatumzzril in veniamquis feugait minim elitsed velit praesent duis.,f,""
18,Design Max Technology,Design Max Technology,https://etullamcorper.com,2014-09-18,692,2,18,31,Financial Institution,Et dignissim dolore duis.,Et luptatumzzril eum lobortis iriuredolor eros facilisis in augue et commodo aliquip et.,t,""
19,Network Advanced,Network Advanced,https://nulladolor.us,2019-01-04,383,2,19,36,NGO,Sit ut suscipit invulputate blandit.,Vero enim dolor eufeugiat exerci duis nostrud dolor ut in consequat iustoodio commodoconsequat.,t,""
20,Construction Network,Construction Network,https://ullamcorpernisl.org,2015-12-03,356,6,20,35,Technical assistance providers,In te delenit vulputate facilisis.,Ullamcorper vel consequat dolore amet tationullamcorper qui sit minim nulla iustoodio delenitaugue.,f,""
21,Interactive Innovation,Interactive Innovation,https://exsit.info,2015-05-28,98,3,21,29,Academia,Euismod vero enim consequat elitsed facilisi ut quis ut ullamcorper.,Velit duis lobortis velit laoreet eum eros.,t,""
22,Venture Studio,Venture Studio,https://quisaliquip.gov,2015-04-14,969,3,22,31,Financial Institution,Dolor blandit duis nulla et.,Facilisis velit diam lorem eros euismod facilisis.,t,""
23,East Contract,East Contract,https://tationluptatum.com,2020-02-16,392,,23,,Governamental agencies,Veniamquis esse nostrud autem illum.,Duis dolore luptatum quis vulputate veniam iriure.,f,""
24,West Analysis Bell,West Analysis Bell,https://nullahendrerit.tv,2013-10-14,618,7,24,35,Technical assistance providers,Nisl nulla consectetuer consectetuer blandit euismod.,Diam hendrerit ut dolore vero nulla in laoreet erat.,t,""
25,Power Advanced Electronics,Power Advanced Electronics,https://dignissimeu.eu,2015-03-27,910,3,25,36,NGO,Blandit accumsan ad vero enim volutpat dolor eros.,Lorem molestie ea duis vulputate ut suscipit te eros.,f,""
26,North Interactive Power,North Interactive Power,https://suscipitvulputate.org,2019-04-19,878,4,26,36,NGO,Iustoodio aliquam invulputate eum molestie aliquip consequat facilisi.,Suscipit etaccumsan wisi hendrerit enim facilisis praesent adipiscing exerci praesent enim.,t,""
27,Speed Studio Contract,Speed Studio Contract,https://esseex.gov,2014-03-21,726,1,27,37,Investor/Asset manager,Vero facilisis vero vero.,Duis veniamquis sit nibh etaccumsan dignissim molestie iustoodio luptatum veniam dignissim Utwisi invulputate vel.,t,""
28,Consulting Design West,Consulting Design West,https://etaccumsanvel.gov,2019-04-11,43,5,28,36,NGO,Ipsum autem ut enim Utwisi zzril.,Dolore delenitaugue adipiscing facilisi vel minim ex in.,f,""
29,Construction Vision,Construction Vision,https://nullaconsequat.edu,2010-12-22,969,4,29,38,Technology/Service Provider,Illum te dignissim commodo elitsed vero nostrud Utwisi consequat euismod ea velit amet.,Illum esse dignissim nulla autem praesent eufeugiat.,f,""
30,Hill Frontier Vision,Hill Frontier Vision,https://eratamet.net,2012-06-15,532,4,30,29,Academia,Ex facilisis molestie volutpat praesent ad esse nulla feugait.,Odio accumsan nostrud dignissim delenit esse feugait dignissim at facilisis.,f,""
31,Building Hardware Design,Building Hardware Design,https://loremelitsed.net,2018-01-25,56,4,31,31,Financial Institution,Iustoodio suscipit minim velit wisi feugiat dolore nulla luptatumzzril feugait delenit laoreet doloremagna.,Diam nislut te facilisi in duis ut et facilisi commodoconsequat.,f,""
32,Network Systems Hill,Network Systems Hill,https://atblandit.edu,2014-05-31,181,5,32,31,Financial Institution,Eum aliquam accumsan delenit augue.,Nibh exerci diam vel facilisis iusto accumsan iusto aliquip minim ut volutpat ea te.,t,""
33,People Medicine,People Medicine,https://loremfeugiat.eu,2012-11-29,962,8,33,35,Technical assistance providers,Qui facilisi dignissim amet eufeugiat duis et nonummy velit.,Vel esse vero Utwisi eufeugiat vel duis.,t,""
34,North People Federated,North People Federated,https://nullaaliquip.info,2017-05-20,794,2,34,37,Investor/Asset manager,Nulla facilisis dolore nulla diam consequatvel ut et lobortis et et feugiat invulputate dolor.,Et vero at commodoconsequat facilisis lobortis ut in eu.,f,""
35,Future Interactive Hardware,Future Interactive Hardware,https://molestiezzril.com,2013-12-22,104,6,35,36,NGO,Invulputate enim invulputate illum tationullamcorper.,Nostrud molestie augue enim dolore dolore zzril lobortis iriuredolor luptatumzzril vel esse veniam commodoconsequat.,t,""
36,Vision Solutions Provider,Vision Solutions Provider,https://eufeugiatillum.net,2018-12-07,678,5,36,29,Academia,Augue facilisi minim blandit ipsum facilisi velit ad nostrud ad quis ut vel.,Vero delenitaugue invulputate aliquam.,f,""
37,Digital Analysis Star,Digital Analysis Star,https://suscipiteros.tv,2014-04-02,671,,37,,Governamental agencies,Nulla duis ut ea.,Dignissim etaccumsan eum duis exerci consequat iriure dolor suscipit euismod.,f,""
38,Digital Building,Digital Building,https://eaelitsed.info,2013-04-05,942,6,38,29,Academia,Feugait luptatum sit vero diam sit duis.,Duis vero erat hendrerit nonummy ea tation nisl facilisi dignissim ut enim.,t,""
39,Solutions Universal Star,Solutions Universal Star,https://minimtincidunt.edu,2017-03-18,657,,39,,Governamental agencies,Te commodo feugiat odio exerci nulla ad.,Ut qui exerci ad nulla duis minim enim te blandit.,f,""
